fao_product_code,fao_product,extraction_rate_mean,extraction_rate_min,extraction_rate_max,extraction_rate_std,extraction_rate_count,waste_of_supply_mean,waste_of_supply_min,waste_of_supply_max,waste_of_supply_std,waste_of_supply_count,extraction_rate_flag,waste_of_supply_flag
570,figs_dried,0.325,0.2,0.75,0.12678252846433347,22,0.043333333333333335,0.01,0.12,0.030860669992418384,15,1,1
572,avocados,NA,NA,NA,NA,0,0.09125,0.02,0.25,0.04845223470201397,64,0,1
574,pineapples,NA,NA,NA,NA,0,0.07667088607594937,0.01,0.25,0.040067801997328366,79,0,1
575,pineapples_canned,0.48700000000000004,0.08800000000000001,0.8,0.12902443314282022,24,NA,NA,NA,NA,0,1,0
576,juice_pineapple,0.31666666666666665,0.15,0.7,0.15545631755148023,15,NA,NA,NA,NA,0,1,0
577,dates,NA,NA,NA,NA,0,0.0588936170212766,0.01,0.2,0.03944353919793246,47,0,1
580,juice_pineapple_concentrated,0.1694,0.067,0.2,0.05789473205741607,5,NA,NA,NA,NA,0,1,0
587,persimmons,NA,NA,NA,NA,0,0.09285714285714286,0.03,0.2,0.06701101544131526,7,0,1
591,cashewapple,NA,NA,NA,NA,0,0.3,0.3,0.3,NA,1,0,1
592,kiwi_fruit,NA,NA,NA,NA,0,0.049411764705882356,0.01,0.14,0.026802655706873093,17,0,1
600,papayas,NA,NA,NA,NA,0,0.10222222222222223,0.03,0.5,0.07648199101419204,45,0,1
603,fruit_tropical_fresh_nes,NA,NA,NA,NA,0,0.08711764705882354,0.02,0.2,0.039609416586879206,51,0,1
619,fruit_fresh_nes,NA,NA,NA,NA,0,0.08860377358490566,0.01,0.2,0.03820746478656712,159,0,1
622,juice_fruit_nes,NA,NA,NA,NA,0,0.06773170731707318,0.01,0.2,0.04130316234275767,41,0,1
630,cane_tops,NA,NA,NA,NA,0,0.022000000000000002,0.005,0.05,0.01759971590679804,9,0,1
653,food_wastes,NA,NA,NA,NA,0,0.10575000000000001,0.03,0.2,0.052545218621678616,16,0,1
656,coffee_green,NA,NA,NA,NA,0,0.03920689655172414,0.005,0.2,0.039912743498738086,29,0,1
657,coffee_roasted,0.79725,0.65,1.0,0.040999382520821075,80,0.8,0.8,0.8,0.0,2,1,1
658,coffee_substitutes_containing_coffee,0.7475,0.2,2.0,0.4422496835597463,24,NA,NA,NA,NA,0,1,0
659,coffee_extracts,0.3262962962962963,0.07,0.5,0.07099014818692197,27,NA,NA,NA,NA,0,1,0
660,coffee_husks_and_skins,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
661,cocoa_beans,NA,NA,NA,NA,0,0.04,0.003,0.1,0.034604912945996553,9,0,1
662,cocoa_paste,0.8,0.8,0.8,0.0,52,NA,NA,NA,NA,0,1,0
663,cocoa_husks_shell,0.19903846153846155,0.15,0.2,0.006933752452815365,52,NA,NA,NA,NA,0,1,0
664,cocoa_butter,0.47352941176470587,0.47,0.58,0.016831343310831103,51,NA,NA,NA,NA,0,1,0
665,cocoa_powder_cake,0.5229411764705882,0.41,0.53,0.024681500574078485,51,NA,NA,NA,NA,0,1,0
666,chocolate_products_nes,5.211162790697674,2.5,19.43,2.4265164225817,43,NA,NA,NA,NA,0,1,0
667,tea,NA,NA,NA,NA,0,0.024923076923076923,0.005,0.053,0.017109751305720074,13,0,1
677,hops,NA,NA,NA,NA,0,0.035,0.02,0.05,0.021213203435596427,2,0,1
723,spices_nes,NA,NA,NA,NA,0,0.08216666666666667,0.05,0.15,0.038680313683664286,6,0,1
767,cotton_lint,0.3329166666666667,0.26,0.44,0.030594001173455853,48,0.05,0.05,0.05,NA,1,1,1
769,cotton_waste,0.03204545454545455,0.006999999999999999,0.084,0.021811917390723363,22,NA,NA,NA,NA,0,1,0
770,cotton_linter,0.045743589743589746,0.01,0.14,0.02663764446350508,39,NA,NA,NA,NA,0,1,0
778,kapok_fibre,NA,NA,NA,NA,0,0.04,0.04,0.04,NA,1,0,1
780,jute,NA,NA,NA,NA,0,0.03,0.03,0.03,NA,1,0,1
813,coir,0.36851851851851847,0.28,0.47,0.04880918133237005,27,NA,NA,NA,NA,0,1,0
828,cigarettes,NA,NA,NA,NA,0,0.08229411764705882,0.04,0.16,0.03849637110475861,17,0,1
866,cattle,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
867,meat_cattle,0.5133333333333333,0.38,0.64,0.039607177661842664,195,NA,NA,NA,NA,0,1,0
868,offals_edible_cattle,0.08065641025641025,0.016,0.17,0.024077193243191724,195,NA,NA,NA,NA,0,1,0
869,fat_cattle,0.019707692307692308,0.003,0.084,0.011431629674645675,195,NA,NA,NA,NA,0,1,0
870,meat_cattle_boneless_beef_veal,0.71,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
871,cattle_butcher_fat,0.12,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
